,Unnamed: 0_x,Timestamp,Scope_x,Name_x,Source URL,Destination RSE,Destination URL,Rucio_Checksum,Destination_Checksum_x,Unnamed: 0_y,Name_y,Path,Size,Seal_Checksum,Destination_Checksum_y,status
427,518,"02/20/2024, 09:35:37 AM",data16_13TeV,DAOD_RPVLL.22357964._000065.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357964._000065.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/00/f6/DAOD_RPVLL.22357964._000065.pool.root.1,2fc689d3,90e73e7a,518,/rucio/data16_13TeV/DAOD_RPVLL.22357964._000065.pool.root.1,9101446773,9.101GB,2fc689d3,90e73e7a,Transfer Error
102,192,"02/20/2024, 04:42:21 PM",data16_13TeV,DAOD_RPVLL.22357964._000077.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357964._000077.pool.root.1?copy_mode=pull,BNL-OSG2_DATADISK,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/64/1f/DAOD_RPVLL.22357964._000077.pool.root.1,43f3937e,4ff137c3,192,/rucio/data16_13TeV/DAOD_RPVLL.22357964._000077.pool.root.1,8598550087,8.599GB,43f3937e,4ff137c3,Transfer Error
350,441,"02/20/2024, 11:14:29 AM",data16_13TeV,DAOD_RPVLL.22357964._000155.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357964._000155.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/2d/f5/DAOD_RPVLL.22357964._000155.pool.root.1,fe6dfd7f,87ebb8c1,441,/rucio/data16_13TeV/DAOD_RPVLL.22357964._000155.pool.root.1,10032523620,10.03GB,fe6dfd7f,87ebb8c1,Transfer Error
431,522,"02/20/2024, 09:28:14 AM",data16_13TeV,DAOD_RPVLL.22357964._000194.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357964._000194.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/8d/df/DAOD_RPVLL.22357964._000194.pool.root.1,860f37bc,e71f9a04,522,/rucio/data16_13TeV/DAOD_RPVLL.22357964._000194.pool.root.1,9275686592,9.276GB,860f37bc,e71f9a04,Transfer Error
412,503,"02/20/2024, 10:04:20 AM",data16_13TeV,DAOD_RPVLL.22357964._000243.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357964._000243.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/1b/fd/DAOD_RPVLL.22357964._000243.pool.root.1,cc9cddd6,7382f921,503,/rucio/data16_13TeV/DAOD_RPVLL.22357964._000243.pool.root.1,9503789737,9.504GB,cc9cddd6,7382f921,Transfer Error
105,195,"02/20/2024, 04:38:44 PM",data16_13TeV,DAOD_RPVLL.22357975._000002.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357975._000002.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/61/c7/DAOD_RPVLL.22357975._000002.pool.root.1,19441cd5,54dee433,195,/rucio/data16_13TeV/DAOD_RPVLL.22357975._000002.pool.root.1,9955217454,9.955GB,19441cd5,54dee433,Transfer Error
261,352,"02/20/2024, 12:44:58 PM",data16_13TeV,DAOD_RPVLL.22357975._000030.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357975._000030.pool.root.1?copy_mode=pull,BNL-OSG2_DATADISK,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/49/5f/DAOD_RPVLL.22357975._000030.pool.root.1,0d0c3786,19dcc7e0,352,/rucio/data16_13TeV/DAOD_RPVLL.22357975._000030.pool.root.1,7308733969,7.309GB,0d0c3786,19dcc7e0,Transfer Error
284,375,"02/20/2024, 12:35:50 PM",data16_13TeV,DAOD_RPVLL.22357975._000059.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357975._000059.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/7b/ec/DAOD_RPVLL.22357975._000059.pool.root.1,4a621f28,0f12c867,375,/rucio/data16_13TeV/DAOD_RPVLL.22357975._000059.pool.root.1,7198766245,7.199GB,4a621f28,0f12c867,Transfer Error
426,517,"02/20/2024, 09:35:44 AM",data16_13TeV,DAOD_RPVLL.22357975._000099.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357975._000099.pool.root.1?copy_mode=pull,BNL-OSG2_DATADISK,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/d2/f6/DAOD_RPVLL.22357975._000099.pool.root.1,a52b569c,86e913d9,517,/rucio/data16_13TeV/DAOD_RPVLL.22357975._000099.pool.root.1,10348934617,10.35GB,a52b569c,86e913d9,Transfer Error
9,98,"02/20/2024, 06:15:12 PM",data16_13TeV,DAOD_RPVLL.22357975._000113.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357975._000113.pool.root.1?copy_mode=pull,BNL-OSG2_DATADISK,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/c5/59/DAOD_RPVLL.22357975._000113.pool.root.1,b1dace18,0cfea7c6,98,/rucio/data16_13TeV/DAOD_RPVLL.22357975._000113.pool.root.1,9937075084,9.937GB,b1dace18,0cfea7c6,Transfer Error
